DLVR_STORE_ADSTRD_CODE,DLVR_STORE_INDUTY_NM,DLVR_STORE_LEGALDONG_NM,월 평균 배달 매출,월 평균 주문 건수,평균 주문 금액,평균 소요 시간,
41390591,카페/디저트,정왕동,3293200,166,19800,1650,
41173578,치킨,평촌동,7193000,291,24700,1180,
41285551,치킨,백석동,374800,16,23900,1190,
41271540,찜탕,본오동,1275700,59,21700,620,
41173620,패스트푸드,호계동,3423800,217,15800,700,
41190746,카페/디저트,심곡본동,5496200,290,19000,1540,
41190750,중식,소사본동,355500,18,19900,1150,
41150545,패스트푸드,호원동,2397800,145,16500,1000,
11545700,패스트푸드,시흥동,38607100,2286,16900,870,
41281621,치킨,화정동,25404600,1273,20000,1160,
41150555,야식,호원동,6442800,236,27400,960,
41150576,한식,민락동,12523800,577,21700,1030,
11545630,치킨,독산동,1476100,60,24500,1220,
41190750,한식,소사본동,2806800,149,18900,1020,
41113662,카페/디저트,금곡동,5426700,282,19300,1090,
11545620,한식,독산동,4357100,202,21600,770,
41190746,중식,심곡본동,6213700,219,28400,1450,
41190606,야식,원미동,256200,10,26500,1040,
41190610,치킨,상동,5235100,174,30000,1200,
11530740,카페/디저트,개봉동,2115200,109,19500,980,
41210590,돈까스/일식,철산동,519800,24,21800,1270,
41150520,찜탕,의정부동,434700,14,30300,1300,
41570550,카페/디저트,풍무동,4762700,247,19300,1110,
11380552,회,갈현동,33530300,844,39700,1140,
41570540,분식,사우동,5665800,284,20000,1050,
41150520,패스트푸드,의정부동,2952400,171,17200,900,
41271560,분식,본오동,9763900,451,21600,690,
41150545,카페/디저트,호원동,4955900,260,19000,630,
41210610,분식,철산동,52300,2,22400,1710,
41150520,찜탕,의정부동,1126100,37,30600,1390,
11560585,치킨,도림동,4634900,206,22600,1140,
41210631,치킨,하안동,52633900,2020,26000,1590,
11320690,분식,방학동,5426200,228,23800,1100,
41281655,야식,행신동,4725300,177,26700,820,
41281650,패스트푸드,행신동,3770700,193,19500,1140,
41150567,패스트푸드,신곡동,2708400,168,16100,730,
41285590,피자,장항동,1388900,52,26500,1240,
41150520,족발/보쌈,의정부동,1192200,30,39100,1230,
41190603,족발/보쌈,원미동,418800,13,32600,1190,
41210540,피자,광명동,4086700,137,29800,1640,
41287510,치킨,일산동,745900,32,23300,1260,
41150580,치킨,금오동,19080200,816,23400,1070,
41150510,족발/보쌈,의정부동,32066300,911,35200,1020,
11530740,치킨,개봉동,15439300,682,22600,1360,
41461320,아시안/양식,남사면,3824800,171,22300,1300,
11545640,분식,독산동,7737900,434,17800,1030,
41285552,치킨,백석동,571800,32,18000,1060,
41210631,회,하안동,6923800,163,42500,1160,
41281622,족발/보쌈,화정동,9121200,240,38000,1100,
41150573,치킨,용현동,6153800,301,20400,1250,
41650510,치킨,신읍동,5993000,216,27800,1640,
41150520,족발/보쌈,의정부동,559300,16,36100,1010,
41150620,분식,녹양동,16289700,808,20200,1400,
41150567,족발/보쌈,신곡동,60072100,1505,39900,920,
11560680,치킨,신길동,12137900,655,18500,1150,
41281655,분식,행신동,1101800,64,17400,830,
41150568,피자,신곡동,2391900,100,23900,1320,
41461320,야식,남사면,4856300,183,26500,1360,
41190795,야식,옥길동,8817900,550,16000,970,
41190603,치킨,원미동,41400,2,20700,960,
11530740,치킨,개봉동,13138500,531,24700,1270,
41360253,분식,진접읍,947200,42,22500,1300,
41150576,치킨,민락동,4903700,220,22300,1230,
41281640,한식,행신동,1513700,61,24700,810,
11560605,치킨,문래동3가,3899700,197,19800,1240,
41173620,치킨,호계동,22765900,966,23600,1230,
41390570,치킨,조남동,5563300,210,26500,850,
41360262,족발/보쌈,오남읍,5620800,166,33900,1140,
41281621,족발/보쌈,화정동,19913300,494,40300,830,
41281621,도시락,화정동,7149700,345,20700,760,
41150568,한식,신곡동,3482700,170,20500,1120,
41271525,피자,사동,17205100,641,26800,800,
41390570,피자,조남동,10949400,494,22200,1300,
41150595,돈까스/일식,가능동,7607500,252,30200,740,
41150510,야식,의정부동,1885800,92,20500,940,
41150576,카페/디저트,민락동,9602900,590,16300,970,
11560630,치킨,신길동,406500,18,22000,1510,
41210610,카페/디저트,철산동,449800,24,18500,1360,
11530740,치킨,개봉동,20722900,865,24000,1150,
41190603,야식,심곡동,167500,7,23400,1180,
41150578,패스트푸드,민락동,1124600,62,18100,870,
11620615,카페/디저트,봉천동,6490800,357,18200,1170,
41190603,치킨,소사동,154500,7,21600,1130,
41360262,피자,오남읍,4258400,197,21700,1160,
41150576,족발/보쌈,민락동,20182600,823,24500,1440,
41287540,분식,탄현동,12078300,703,17200,980,
41287550,치킨,주엽동,1974800,87,22800,1380,
41190603,한식,심곡동,115900,5,22400,1270,
11305555,한식,미아동,10200,0,30500,1120,
11560630,한식,신길동,6769000,219,30900,1330,
41360253,족발/보쌈,진접읍,5281200,149,35400,1610,
41190603,치킨,심곡동,286800,11,25700,1440,
41150520,야식,의정부동,7360600,254,29000,920,
11560560,패스트푸드,당산동,4953200,222,22300,1190,
41287510,치킨,일산동,5132800,265,19400,1190,
41287510,피자,일산동,2038900,73,27900,1240,
41150555,분식,호원동,14160100,812,17400,780,
41281650,아시안/양식,행신동,28973500,1158,25000,1150,
11560630,치킨,신길동,4652100,262,17800,1130,
11530720,야식,고척동,2159200,64,33600,1090,
41390570,한식,목감동,2136000,72,29500,760,
41190742,돈까스/일식,중동,164200,3,51900,1070,
41150568,치킨,신곡동,5278300,214,24700,1860,
41285590,치킨,장항동,362200,13,27900,1290,
41150576,족발/보쌈,민락동,3841700,110,35000,1410,
41281621,치킨,화정동,2726900,127,21400,1230,
41285510,분식,식사동,2051300,90,22800,1080,
41190742,카페/디저트,중동,7583000,400,19000,1490,
41150510,중식,의정부동,277000,16,17000,1100,
41210520,찜탕,광명동,22485800,694,32400,1560,
41190795,찜탕,옥길동,5411000,166,32500,810,
41190744,카페/디저트,상동,6867300,358,19200,1230,
41150595,한식,가능동,2126000,102,20800,1190,
11530770,족발/보쌈,오류동,6523700,192,34100,1000,
11545640,족발/보쌈,독산동,140600,4,32400,1210,
41190603,한식,심곡동,23618900,1041,22700,1130,
11530720,카페/디저트,고척동,2473600,120,20700,1090,
11530780,치킨,오류동,14837400,690,21500,1150,
41190742,카페/디저트,중동,4063400,207,19600,1430,
41210650,카페/디저트,소하동,1470200,89,16600,1450,
41190610,치킨,중동,1064700,38,28100,1500,
41150595,치킨,가능동,1873900,85,22000,1150,
41210570,피자,광명동,14936300,620,24100,1210,
41150580,치킨,금오동,4287800,181,23600,1440,
41150576,분식,민락동,38700,2,21100,2020,
11305555,찜탕,미아동,176000,6,30200,920,
41150510,야식,의정부동,392200,20,20100,1850,
41150510,분식,의정부동,573500,32,18000,990,
41285551,족발/보쌈,백석동,3225300,96,33800,1280,
41480550,카페/디저트,와동동,13612800,698,19500,970,
11530770,치킨,오류동,19281100,856,22500,1230,
41630540,카페/디저트,덕계동,3736000,196,19100,1110,
11530740,치킨,개봉동,420800,23,18200,850,
41210610,아시안/양식,철산동,908700,35,25800,1450,
11530780,피자,오류동,11737700,491,23900,1200,
41190603,한식,심곡동,165200,10,16800,1020,
11320514,족발/보쌈,창동,11780000,278,42400,1190,
41285560,분식,마두동,2115600,112,19000,930,
11530530,패스트푸드,구로동,1075100,64,16700,1400,
41360253,피자,진접읍,2758500,92,30000,1480,
41150576,야식,민락동,195300,9,22500,1240,
41610530,찜탕,태전동,23400,1,23400,600,
41190795,패스트푸드,괴안동,13024800,653,19900,1130,
41150510,족발/보쌈,의정부동,3472800,89,39100,940,
41190610,치킨,중동,2363700,117,20100,1180,
41190742,족발/보쌈,중동,261400,6,40200,1080,
41190742,족발/보쌈,중동,3240200,120,27100,940,
11530720,분식,고척동,3357500,192,17500,960,
41190795,야식,옥길동,4582800,132,34800,1150,
41210633,찜탕,하안동,4821500,228,21100,1080,
41281655,치킨,행신동,4801200,222,21700,1140,
11620645,카페/디저트,신림동,3588600,201,17800,1400,
41281655,치킨,행신동,984600,46,21300,970,
11530740,야식,개봉동,17715200,557,31800,1290,
41390570,분식,조남동,12704200,642,19800,930,
41150567,족발/보쌈,신곡동,18308500,637,28700,970,
41281622,피자,화정동,5205400,235,22200,1090,
41360570,카페/디저트,별내동,5787600,300,19300,2750,
41210640,찜탕,소하동,245300,9,26300,1120,
41150555,패스트푸드,호원동,13224300,734,18000,630,
41190742,분식,중동,996100,61,16300,1000,
11530740,분식,개봉동,1379900,101,13600,1100,
11560720,족발/보쌈,대림동,4277300,106,40500,780,
11530740,피자,개봉동,5520300,239,23100,1310,
11305575,회,미아동,21800,1,32800,960,
11530760,족발/보쌈,개봉동,16732200,455,36700,1250,
41271515,아시안/양식,이동,10675200,562,19000,720,
41190744,분식,상동,8382400,413,20300,1280,
41150520,돈까스/일식,의정부동,743300,40,18600,1140,
11530740,피자,개봉동,11188000,443,25300,1220,
41150555,치킨,호원동,454900,18,24800,1520,
41150620,야식,녹양동,4390800,185,23800,790,
41190603,한식,심곡동,105200,4,26300,840,
41461320,피자,남사면,10181300,356,28600,1120,
41210610,중식,철산동,941200,41,23000,1510,
11545610,치킨,독산동,841700,33,25400,1350,
11590660,카페/디저트,대방동,1924900,100,19300,1390,
11545670,족발/보쌈,시흥동,12775800,413,30900,1700,
11560515,분식,영등포동,9436600,543,17400,1010,
41190742,패스트푸드,중동,12659600,585,21600,1160,
41150568,피자,신곡동,2209400,87,25300,1160,
41210632,족발/보쌈,하안동,8059400,188,42800,1160,
11530760,족발/보쌈,개봉동,187600,5,38800,1160,
41285520,치킨,중산동,529200,22,24200,1310,
11320690,패스트푸드,방학동,5197100,314,16600,1000,
11530720,중식,고척동,9128500,356,25700,1190,
41390570,카페/디저트,산현동,277400,16,17900,930,
41210610,족발/보쌈,철산동,1734000,41,42300,1280,
41390570,야식,조남동,7605800,320,23700,620,
41281640,치킨,행신동,9641100,440,21900,1190,
11590640,족발/보쌈,사당동,2477700,64,38600,1770,
41150568,치킨,신곡동,457900,22,21100,1660,
41190742,돈까스/일식,약대동,2792500,84,33200,1080,
41360253,회,진접읍,1177800,31,37800,1160,
41287510,치킨,일산동,2200800,92,23800,1170,
41360253,돈까스/일식,진접읍,3686200,102,36000,1700,
41190603,치킨,원미동,35000,1,26200,780,
41173610,회,호계동,6049500,166,36400,780,
11530750,치킨,개봉동,6682600,285,23500,1310,
41150510,한식,의정부동,68200,3,22800,1920,
41190603,피자,심곡동,253000,5,50600,1620,
41150520,돈까스/일식,의정부동,10389300,257,40500,920,
41390570,회,목감동,7741300,233,33200,1180,
41150510,한식,의정부동,497000,21,23700,1440,
41285560,찜탕,마두동,3248300,164,19800,1000,
11530770,치킨,오류동,8460700,373,22700,1240,
11530780,치킨,오류동,7849900,329,23900,1120,
41285590,치킨,장항동,838300,39,21600,1050,
11530780,회,오류동,7175900,182,39500,1510,
41150580,족발/보쌈,금오동,13467600,341,39500,1030,
41190603,야식,소사동,134500,6,23700,1310,
11590660,카페/디저트,대방동,4140000,221,18700,1020,
41190795,피자,괴안동,892800,32,28200,1280,
11380551,분식,갈현동,1391200,79,17700,960,
41281655,돈까스/일식,행신동,7709400,363,21200,990,
41150510,아시안/양식,의정부동,3820100,169,22600,950,
41150568,카페/디저트,신곡동,8317000,438,19000,790,
41150510,분식,의정부동,84700,5,16400,2000,
41287560,한식,주엽동,3641600,166,22000,970,
41190750,족발/보쌈,소사본동,1099500,28,39300,1180,
41190795,치킨,옥길동,5950500,250,23800,930,
41285570,피자,마두동,363900,9,39700,1000,
41287540,치킨,탄현동,23082500,1045,22100,1260,
41150578,야식,민락동,884300,32,27500,2180,
41281650,분식,행신동,337000,18,18500,750,
11530770,야식,오류동,8583500,274,31300,1270,
41190795,치킨,옥길동,14923400,632,23600,980,
41190610,찜탕,상동,1757700,89,19800,1010,
41150520,분식,의정부동,252200,10,25200,1820,
41190750,치킨,소사본동,895100,40,22600,1330,
41150595,치킨,가능동,1332700,61,21900,1610,
41190610,한식,중동,4078800,200,20400,1020,
41150567,족발/보쌈,신곡동,9195300,276,33300,1400,
11290660,분식,길음동,89700,5,16800,620,
11530720,분식,고척동,15209500,701,21700,1000,
11350700,카페/디저트,상계동,4487000,237,19000,1240,
41150545,치킨,호원동,487800,23,21200,900,
41210631,피자,하안동,34856300,1223,28500,1110,
41150510,한식,의정부동,2574600,103,25000,1810,
41590262,카페/디저트,남양읍,8397200,478,17600,930,
11320710,분식,방학동,23351000,1199,19500,1070,
41210600,한식,철산동,2778800,116,23900,1400,
41210550,중식,광명동,21347400,926,23000,1080,
41150510,치킨,의정부동,216500,10,22400,1940,
41210610,중식,철산동,258200,12,21500,1270,
41190746,야식,송내동,3639200,96,38100,1580,
41190603,분식,원미동,33200,2,15300,1300,
41150595,찜탕,가능동,2784800,140,19900,860,
41150580,한식,금오동,4033800,168,24000,1150,
41190795,분식,옥길동,8759100,372,23600,860,
41650510,치킨,신읍동,159200,6,25800,1260,
41390570,치킨,조남동,5641600,283,19900,930,
41150520,한식,의정부동,323200,17,18800,1680,
11560680,치킨,신길동,9810000,378,25900,1320,
11620525,카페/디저트,봉천동,7452600,398,18700,1200,
41150510,야식,의정부동,12694900,545,23300,1470,
41210550,족발/보쌈,광명동,45794200,1093,41900,1420,
41210640,분식,소하동,52000,3,19500,1220,
11320522,치킨,도봉동,3513000,175,20100,1080,
41150568,치킨,신곡동,663000,29,22900,1660,
41150567,분식,신곡동,125200,8,16300,1830,
41190795,한식,옥길동,2423800,91,26600,890,
41150567,한식,신곡동,3645300,163,22300,800,
41190603,카페/디저트,심곡동,14603800,771,18900,1250,
41210600,카페/디저트,철산동,906200,49,18400,980,
41190795,돈까스/일식,괴안동,388800,19,20600,1100,
41210520,한식,광명동,2283800,82,28000,1220,
41150567,돈까스/일식,신곡동,8826000,298,29600,2620,
11530780,분식,오류동,2786500,176,15800,1050,
11560650,치킨,신길동,363700,18,20600,1380,
41150615,치킨,가능동,229900,10,22200,1230,
11380625,패스트푸드,역촌동,17345100,803,21600,980,
41150510,한식,의정부동,4886800,313,15600,890,
41190795,치킨,괴안동,1489200,62,24000,1330,
41190795,족발/보쌈,옥길동,21031200,560,37500,720,
41150568,카페/디저트,신곡동,930900,58,16200,1220,
41190603,야식,심곡동,78300,5,16800,1120,
41287590,카페/디저트,덕이동,1204800,59,20500,1180,
41285551,분식,백석동,200800,10,19400,940,
41150545,치킨,호원동,189200,8,24700,1000,
11530770,치킨,오류동,6950200,319,21800,940,
41210550,패스트푸드,광명동,15910100,708,22500,1120,
41150510,돈까스/일식,의정부동,15904200,793,20100,1360,
41150576,치킨,민락동,128800,6,20900,1190,
41190795,중식,옥길동,1940700,65,29900,740,
41281622,피자,화정동,3255600,117,27800,1260,
41210632,분식,하안동,11140200,520,21400,1240,
41390570,중식,목감동,898500,34,26700,1100,
41390510,한식,계수동,990200,40,24500,950,
11530730,야식,고척동,1644800,65,25200,1210,
11530720,패스트푸드,고척동,6915800,333,20800,1370,
41190795,족발/보쌈,옥길동,19837500,508,39000,830,
11545620,야식,독산동,30656300,1244,24600,1150,
41190606,도시락,원미동,156500,8,20000,770,
41150578,치킨,민락동,9219800,439,21000,970,
11470650,한식,신정동,3702200,98,37700,1170,
41150510,한식,의정부동,539200,21,25500,2050,
41285552,중식,백석동,466000,14,32500,1170,
41150545,치킨,호원동,4286000,186,23100,1070,
11305555,중식,미아동,1911800,88,21700,1030,
41271540,치킨,본오동,70000,4,16200,710,
41210650,피자,소하동,6417100,280,22900,1290,
11590630,치킨,사당동,4515800,232,19400,1350,
41281622,치킨,화정동,24778000,1108,22400,1200,
41390570,분식,목감동,8885200,410,21600,790,
41150576,찜탕,민락동,5997800,215,27900,860,
11560700,야식,대림동,10427100,276,37800,1650,
41150576,치킨,민락동,12335100,500,24700,1220,
41150595,야식,가능동,4555500,193,23600,1150,
11380551,돈까스/일식,갈현동,3371600,148,22700,860,
41390570,치킨,조남동,11276300,502,22500,870,
11530760,치킨,개봉동,317800,15,21700,1330,
41281650,돈까스/일식,행신동,2696200,127,21200,910,
41271560,돈까스/일식,본오동,4148200,280,14800,550,
41285590,한식,장항동,2469800,96,25900,1680,
