,DLVR_STORE_ADSTRD_CODE,DLVR_STORE_ID,DLVR_STORE_INDUTY_NM,DLVR_STORE_LEGALDONG_NM,월 평균 배달 매출,월 평균 주문 건수,평균 주문 금액,평균 소요 시간,Label
34,41210610,S0021228,야식,철산동,653300,21,31400,1450,3
35,41150555,S0041685,중식,호원동,15291000,742,20600,1010,1
36,41285540,S0035401,중식,풍동,1129800,46,24300,1270,1
37,41190606,S0020691,치킨,역곡동,8555000,446,19200,1010,1
38,41150510,S0037037,분식,의정부동,16105200,771,20900,1060,1
39,41190795,S0019531,한식,괴안동,305300,15,20100,950,2
40,41210610,S0021134,돈까스/일식,철산동,4050300,118,34400,1310,3
41,41210570,S0019379,족발/보쌈,광명동,8595400,230,37400,1520,2
42,41190746,S0020302,치킨,송내동,7515600,307,24500,1250,1
43,11305534,S0003056,치킨,미아동,459100,18,24800,1030,2
44,41210550,S0019461,치킨,광명동,23192200,917,25300,1270,1
45,41360253,S0023152,야식,진접읍,25337500,929,27300,1310,1
46,41190603,S0001158,족발/보쌈,심곡동,97700,3,34500,1330,3
47,41281640,S0002223,치킨,행신동,12468400,488,25600,1080,1
48,11560515,S0021941,아시안/양식,영등포동,10373200,482,21500,1100,3
49,41190610,S0020135,족발/보쌈,상동,8184500,250,32700,990,3
50,41150595,S0022644,한식,의정부동,5679800,206,27500,1370,0
51,11530770,S0022461,분식,오류동,10186600,530,19200,930,3
52,41150510,S0027047,족발/보쌈,의정부동,29542800,1418,20800,1040,1
53,41281621,S0002269,분식,화정동,37265700,1504,24800,1030,1
54,41150510,S0028362,한식,의정부동,3952100,166,23800,1130,0
55,41390570,S0019804,돈까스/일식,조남동,5115700,159,32200,680,1
56,41190830,S0020037,패스트푸드,삼정동,7892000,444,17800,1190,1
57,11530740,S0022450,치킨,개봉동,26141100,1131,23100,1070,2
58,11560650,S0029167,한식,신길동,290800,7,40600,1210,0
59,41210650,S0022232,치킨,일직동,529300,26,20000,1340,0
60,41150567,S0031810,족발/보쌈,신곡동,21099800,561,37600,870,1
61,41281655,S0002228,패스트푸드,행신동,8304400,521,15900,660,1
62,41150520,S0036689,분식,의정부동,5179400,269,19300,1020,3
63,41390570,S0019731,피자,조남동,13942800,521,26800,1130,1
64,11530740,S0022418,치킨,개봉동,56834900,2275,25000,1260,1
65,41210650,S0022186,치킨,소하동,12694200,563,22600,1190,1
66,41150580,S0023538,족발/보쌈,금오동,1701800,42,40800,1740,2
67,41190795,S0019478,치킨,괴안동,2118100,98,21700,1250,2
68,41360262,S0039111,족발/보쌈,오남읍,18431000,520,35400,1470,1
69,11530540,S0019544,피자,구로동,24626400,962,25600,910,2
70,41271510,S0039709,한식,일동,4141200,176,23600,870,0
71,11545670,S0022229,분식,시흥동,83215600,4186,19900,1280,1
72,41210600,S0021094,치킨,철산동,1903200,87,21900,1590,0
73,41150595,S0002731,피자,가능동,3691000,155,23900,1010,2
74,41210520,S0019385,돈까스/일식,광명동,27541100,928,29700,1230,1
75,41287520,S0037554,회,일산동,25233600,643,39200,1080,1
76,41150578,S0028802,한식,민락동,538800,21,25500,1270,2
77,41210550,S0019394,패스트푸드,광명동,5094300,265,19200,1100,2
78,41190603,S0001163,카페/디저트,심곡동,42600,2,19700,990,0
79,41650510,S0027090,패스트푸드,신읍동,11173000,491,22800,1210,1
80,41190603,S0001070,분식,심곡동,434200,22,20000,1060,3
81,41190744,S0020140,돈까스/일식,상동,5424600,200,27100,1430,3
82,41461320,S0022894,치킨,남사면,399300,22,18200,1090,1
83,11530720,S0000258,분식,고척동,4192600,199,21100,1200,2
84,41210631,S0022073,치킨,하안동,8840700,380,23300,1210,1
85,41150568,S0026369,족발/보쌈,신곡동,9732400,224,43500,1090,3
86,11530760,S0022407,족발/보쌈,개봉동,52243200,1282,40700,1180,2
87,11380552,S0031548,한식,갈현동,4923000,196,25100,1060,2
88,11380551,S0025740,치킨,갈현동,15235100,707,21600,990,2
89,41190742,S0001486,족발/보쌈,중동,311000,7,46600,1010,3
90,41190795,S0020257,치킨,괴안동,4220500,207,20400,990,2
91,41210550,S0019412,돈까스/일식,광명동,16419900,573,28700,1530,1
92,41190610,S0020967,돈까스/일식,중동,3784800,138,27500,960,3
93,41150578,S0000695,카페/디저트,낙양동,6348600,332,19100,610,2
94,11545620,S0019618,족발/보쌈,독산동,48701800,1294,37600,1490,1
95,41150510,S0037092,족발/보쌈,의정부동,7934700,448,17700,1150,1
96,41210520,S0021652,치킨,광명동,1683400,78,21600,1430,2
97,41271515,S0039589,치킨,이동,19638700,1014,19400,950,1
98,41650510,S0023428,치킨,신읍동,1802600,74,24400,1370,1
99,41150578,S0028140,치킨,민락동,23122400,1059,21800,1270,1
100,11320522,S0026245,한식,도봉동,9128200,460,19800,1060,2
101,41271540,S0039962,한식,본오동,1704100,100,17000,710,1
102,41281622,S0002329,치킨,화정동,3373200,163,20700,1060,1
103,41271560,S0040195,치킨,본오동,14195000,742,19100,800,1
104,41210600,S0021101,돈까스/일식,철산동,284000,9,32800,1210,3
105,41630520,S0000668,카페/디저트,광사동,3894400,201,19400,1060,1
106,11320515,S0039838,치킨,창동,9541300,398,23900,1310,0
107,41630560,S0000672,카페/디저트,옥정동,7705600,397,19400,1310,1
108,41390570,S0019799,치킨,조남동,8979500,400,22400,1340,1
109,41271560,S0026997,분식,본오동,2709800,138,19700,660,1
110,41190750,S0020255,치킨,소사본동,589400,29,20400,1230,0
111,41150510,S0022588,야식,의정부동,5440600,292,18600,1060,3
112,11530740,S0000100,족발/보쌈,개봉동,4610600,128,35900,1290,2
113,41190742,S0020675,분식,약대동,2894900,142,20400,1090,3
114,41150510,S0000692,카페/디저트,의정부동,5028300,258,19500,800,0
115,41210550,S0019431,한식,광명동,17071000,847,20100,1180,1
116,41150595,S0029175,치킨,가능동,4926900,192,25700,1180,2
117,41150510,S0036523,한식,의정부동,2363400,117,20300,1090,0
118,41285560,S0002770,치킨,마두동,3103400,128,24200,1090,1
119,41190742,S0001541,족발/보쌈,중동,105200,3,31600,1120,3
120,41190603,S0001156,야식,심곡동,38800,2,21100,1250,3
121,41150510,S0036167,중식,의정부동,229200,10,22200,1010,0
122,41190610,S0020970,아시안/양식,중동,10360400,432,24000,970,1
123,41150520,S0035548,회,의정부동,889800,19,46000,900,0
124,41150568,S0023791,한식,신곡동,1373600,66,20900,1830,0
125,41190795,S0021900,피자,옥길동,12253200,496,24700,970,1
126,11530780,S0001687,카페/디저트,천왕동,2028100,99,20500,1090,0
127,11530740,S0022429,패스트푸드,개봉동,51687600,3132,16500,1050,1
128,11590650,S0037199,피자,사당동,1967900,90,21800,1030,2
129,41190750,S0020239,분식,소사본동,607700,30,20400,1150,3
130,41271540,S0027589,분식,본오동,693900,35,19900,710,3
131,41150510,S0032341,치킨,의정부동,1856500,89,20900,1170,0
132,41461320,S0028655,피자,남사면,751000,27,27600,1800,1
133,41271560,S0040845,피자,본오동,21241600,873,24300,680,1
134,41150620,S0025863,치킨,녹양동,4698400,198,23800,1290,2
135,41650510,S0040070,치킨,신읍동,190700,9,22000,1130,1
136,41271540,S0041606,치킨,본오동,10511700,441,23800,770,1
137,41150510,S0035142,한식,의정부동,1779700,64,28000,1100,0
138,41285590,S0002956,분식,장항동,1059600,48,22200,1420,3
139,41150567,S0031770,패스트푸드,신곡동,9643200,512,18800,870,1
140,41150568,S0032068,피자,신곡동,6980900,289,24100,1360,0
141,11590640,S0037201,치킨,사당동,4556800,190,24000,1660,2
142,41210580,S0019440,족발/보쌈,광명동,24526500,711,34500,1510,1
143,41285551,S0042016,치킨,백석동,5510200,292,18800,1320,1
144,11320670,S0033420,찜탕,쌍문동,8897700,212,42000,1230,2
145,11620595,S0000524,카페/디저트,봉천동,14017200,784,17900,1160,1
146,41360262,S0033410,패스트푸드,오남읍,4214000,290,14600,930,1
147,41190610,S0020908,찜탕,중동,578800,22,26500,930,0
148,41190610,S0020125,족발/보쌈,상동,8966200,393,22800,1170,1
149,11380552,S0025944,족발/보쌈,갈현동,23165400,752,30800,940,2
150,41281640,S0002225,분식,행신동,6761500,357,18900,690,1
151,11380551,S0003051,치킨,갈현동,9893000,422,23400,1370,2
152,41281510,S0001523,한식,주교동,20900,1,25100,890,0
153,41360253,S0026530,찜탕,진접읍,28958400,1034,28000,1420,1
154,11620575,S0000533,카페/디저트,봉천동,6414300,351,18300,1200,2
155,41271560,S0025669,족발/보쌈,본오동,30012600,937,32000,660,1
156,41390570,S0019776,분식,목감동,3311500,160,20700,850,1
157,11320515,S0039845,피자,창동,54315400,2130,25500,1180,1
158,41285530,S0002966,치킨,정발산동,392600,21,18800,1180,1
159,41190795,S0019501,돈까스/일식,괴안동,22932500,1168,19600,890,1
160,11380552,S0041861,분식,갈현동,6661300,408,16300,920,2
161,41390570,S0019778,분식,조남동,1806500,97,18600,880,1
162,41281622,S0002366,야식,화정동,12140200,441,27500,1130,1
163,11530750,S0022426,패스트푸드,개봉동,57955700,3085,18800,1220,1
164,11545670,S0020327,야식,시흥동,12968200,673,19300,1220,2
165,41150510,S0036303,찜탕,의정부동,12443900,570,21900,830,1
166,11530740,S0022415,한식,개봉동,24908700,1102,22600,1140,2
167,41271515,S0026983,찜탕,이동,8531900,351,24300,620,1
168,41281640,S0002253,치킨,행신동,17882500,715,25000,1150,1
169,41150510,S0002529,한식,의정부동,25025800,1018,24600,1360,1
170,41190603,S0020574,피자,심곡동,145000,7,20200,1670,0
171,11380551,S0041530,돈까스/일식,갈현동,5629000,178,31700,1090,2
172,41461320,S0025611,회,남사면,2531200,71,35800,1580,1
173,41150510,S0023148,야식,의정부동,179800,8,24000,1240,3
174,11530780,S0022467,족발/보쌈,오류동,10734800,496,21600,1190,3
175,41150576,S0027971,족발/보쌈,민락동,2507800,69,36300,840,3
176,41150510,S0035211,야식,의정부동,56300,2,30700,2120,3
177,41271525,S0026644,찜탕,사동,5959600,283,21000,610,1
178,41190742,S0020456,한식,중동,2209800,135,16400,1030,0
179,11530790,S0000284,치킨,궁동,10187800,447,22800,1260,2
180,11530720,S0022448,분식,고척동,11915200,651,18300,1180,2
181,41150580,S0023705,돈까스/일식,금오동,12408300,380,32700,1420,3
182,41190795,S0019476,피자,괴안동,547600,22,24300,1310,2
183,41271540,S0003387,한식,본오동,7962000,395,20200,590,1
184,41360253,S0039641,야식,진접읍,8362100,360,23200,1520,1
185,41287540,S0040487,한식,탄현동,9521300,263,36200,890,1
186,41150568,S0026393,한식,신곡동,9119000,345,26400,1090,0
187,41150520,S0000717,카페/디저트,의정부동,15376600,812,18900,790,1
188,41173576,S0042033,치킨,평촌동,18601400,973,19100,800,1
189,41281622,S0002302,야식,화정동,2031200,56,35900,860,3
190,11320514,S0039846,피자,창동,18231000,665,27400,1120,0
191,41190603,S0001167,야식,심곡동,25400,1,25400,1270,3
192,41150510,S0003409,한식,의정부동,18567200,1021,18200,1100,1
193,41210600,S0021281,한식,철산동,1811500,76,23800,1300,0
194,41190603,S0001133,족발/보쌈,심곡동,235500,10,23900,770,3
195,41150520,S0026145,찜탕,의정부동,9630200,523,18400,920,1
196,41150510,S0026188,한식,의정부동,614800,28,21800,930,0
197,11560660,S0021973,아시안/양식,신길동,46936100,2117,22200,900,1
198,41210610,S0021769,족발/보쌈,철산동,509000,13,40200,1230,3
199,41150595,S0022807,족발/보쌈,가능동,7270200,198,36600,900,2
200,41150595,S0022869,분식,의정부동,5090200,272,18700,1270,3
201,41190746,S0020288,치킨,송내동,10096500,441,22900,1330,1
202,41150520,S0036617,치킨,의정부동,4596400,199,23100,930,0
203,41281621,S0002318,야식,화정동,7333900,255,28700,1170,1
204,41210550,S0021640,야식,광명동,904300,36,25500,1330,2
205,41190603,S0001086,치킨,심곡동,19100,1,19100,940,0
206,11545630,S0022163,중식,독산동,249200,10,23700,1040,2
207,41150578,S0028998,족발/보쌈,민락동,43129300,1161,37100,1020,1
208,11590540,S0000738,카페/디저트,상도동,4214100,217,19400,1180,2
209,41650510,S0038755,한식,신읍동,506200,21,24100,670,1
210,11530560,S0021955,중식,구로동,16766200,742,22600,1340,2
211,41360262,S0040704,야식,오남읍,5938700,261,22800,1100,1
212,41390591,S0000644,카페/디저트,정왕동,3293200,166,19800,1650,1
213,41173578,S0040058,치킨,평촌동,7193000,291,24700,1180,0
214,41285551,S0028426,치킨,백석동,374800,16,23900,1190,1
215,41271540,S0026298,찜탕,본오동,1275700,59,21700,620,1
216,41173620,S0027258,패스트푸드,호계동,3423800,217,15800,700,0
217,41190746,S0000619,카페/디저트,심곡본동,5496200,290,19000,1540,0
218,41190750,S0020263,중식,소사본동,355500,18,19900,1150,3
219,41150545,S0026787,패스트푸드,호원동,2397800,145,16500,1000,0
220,11545700,S0022226,패스트푸드,시흥동,38607100,2286,16900,870,1
221,41281621,S0002377,치킨,화정동,25404600,1273,20000,1160,1
222,41150555,S0041717,야식,호원동,6442800,236,27400,960,3
223,41150576,S0027791,한식,민락동,12523800,577,21700,1030,1
224,11545630,S0042192,치킨,독산동,1476100,60,24500,1220,2
225,41190750,S0020248,한식,소사본동,2806800,149,18900,1020,0
226,41113662,S0000641,카페/디저트,금곡동,5426700,282,19300,1090,2
227,11545620,S0022149,한식,독산동,4357100,202,21600,770,2
228,41190746,S0020624,중식,심곡본동,6213700,219,28400,1450,3
229,41190606,S0001457,야식,원미동,256200,10,26500,1040,3
230,41190610,S0020051,치킨,상동,5235100,174,30000,1200,0
231,11530740,S0000054,카페/디저트,개봉동,2115200,109,19500,980,2
232,41210590,S0021198,돈까스/일식,철산동,519800,24,21800,1270,3
233,41150520,S0036596,찜탕,의정부동,434700,14,30300,1300,0
234,41570550,S0000530,카페/디저트,풍무동,4762700,247,19300,1110,1
235,11380552,S0033402,회,갈현동,33530300,844,39700,1140,2
236,41570540,S0000529,분식,사우동,5665800,284,20000,1050,1
237,41150520,S0026763,패스트푸드,의정부동,2952400,171,17200,900,0
238,41271560,S0029505,분식,본오동,9763900,451,21600,690,1
239,41150545,S0000700,카페/디저트,호원동,4955900,260,19000,630,0
240,41210610,S0021179,분식,철산동,52300,2,22400,1710,3
241,41150520,S0036894,찜탕,의정부동,1126100,37,30600,1390,0
242,11560585,S0025599,치킨,도림동,4634900,206,22600,1140,2
243,41210631,S0022082,치킨,하안동,52633900,2020,26000,1590,1
244,11320690,S0028326,분식,방학동,5426200,228,23800,1100,2
245,41281655,S0002231,야식,행신동,4725300,177,26700,820,1
246,41281650,S0000492,패스트푸드,행신동,3770700,193,19500,1140,1
247,41150567,S0026777,패스트푸드,신곡동,2708400,168,16100,730,0
248,41285590,S0035488,피자,장항동,1388900,52,26500,1240,1
249,41150520,S0036968,족발/보쌈,의정부동,1192200,30,39100,1230,3
250,41190603,S0001465,족발/보쌈,원미동,418800,13,32600,1190,3
251,41210540,S0019407,피자,광명동,4086700,137,29800,1640,2
252,41287510,S0037546,치킨,일산동,745900,32,23300,1260,1
253,41150580,S0023589,치킨,금오동,19080200,816,23400,1070,1
254,41150510,S0034937,족발/보쌈,의정부동,32066300,911,35200,1020,1
255,11530740,S0000273,치킨,개봉동,15439300,682,22600,1360,2
256,41461320,S0026562,아시안/양식,남사면,3824800,171,22300,1300,1
257,11545640,S0019631,분식,독산동,7737900,434,17800,1030,2
258,41285552,S0028424,치킨,백석동,571800,32,18000,1060,1
259,41210631,S0022085,회,하안동,6923800,163,42500,1160,0
260,41281622,S0002376,족발/보쌈,화정동,9121200,240,38000,1100,1
261,41150573,S0035801,치킨,용현동,6153800,301,20400,1250,0
262,41650510,S0003060,치킨,신읍동,5993000,216,27800,1640,1
263,41150520,S0041028,족발/보쌈,의정부동,559300,16,36100,1010,3
264,41150620,S0025794,분식,녹양동,16289700,808,20200,1400,1
265,41150567,S0031957,족발/보쌈,신곡동,60072100,1505,39900,920,1
266,11560680,S0021942,치킨,신길동,12137900,655,18500,1150,2
267,41281655,S0002243,분식,행신동,1101800,64,17400,830,3
268,41150568,S0031830,피자,신곡동,2391900,100,23900,1320,0
269,41461320,S0027559,야식,남사면,4856300,183,26500,1360,1
270,41190795,S0021662,야식,옥길동,8817900,550,16000,970,1
271,41190603,S0001444,치킨,원미동,41400,2,20700,960,0
272,11530740,S0022433,치킨,개봉동,13138500,531,24700,1270,2
273,41360253,S0026656,분식,진접읍,947200,42,22500,1300,3
274,41150576,S0028016,치킨,민락동,4903700,220,22300,1230,2
275,41281640,S0002259,한식,행신동,1513700,61,24700,810,0
276,11560605,S0025991,치킨,문래동3가,3899700,197,19800,1240,2
277,41173620,S0003052,치킨,호계동,22765900,966,23600,1230,1
278,41390570,S0019780,치킨,조남동,5563300,210,26500,850,1
279,41360262,S0039112,족발/보쌈,오남읍,5620800,166,33900,1140,1
280,41281621,S0002373,족발/보쌈,화정동,19913300,494,40300,830,1
281,41281621,S0002272,도시락,화정동,7149700,345,20700,760,1
282,41150568,S0031848,한식,신곡동,3482700,170,20500,1120,0
283,41271525,S0028654,피자,사동,17205100,641,26800,800,1
284,41390570,S0019794,피자,조남동,10949400,494,22200,1300,1
285,41150595,S0031666,돈까스/일식,가능동,7607500,252,30200,740,2
286,41150510,S0036516,야식,의정부동,1885800,92,20500,940,3
287,41150576,S0028004,카페/디저트,민락동,9602900,590,16300,970,1
288,11560630,S0029211,치킨,신길동,406500,18,22000,1510,2
289,41210610,S0021693,카페/디저트,철산동,449800,24,18500,1360,0
290,11530740,S0022413,치킨,개봉동,20722900,865,24000,1150,2
291,41190603,S0001144,야식,심곡동,167500,7,23400,1180,3
292,41150578,S0028164,패스트푸드,민락동,1124600,62,18100,870,2
293,11620615,S0000632,카페/디저트,봉천동,6490800,357,18200,1170,2
294,41190603,S0000916,치킨,소사동,154500,7,21600,1130,0
295,41360262,S0040862,피자,오남읍,4258400,197,21700,1160,1
296,41150576,S0027868,족발/보쌈,민락동,20182600,823,24500,1440,1
297,41287540,S0040463,분식,탄현동,12078300,703,17200,980,1
298,41287550,S0039871,치킨,주엽동,1974800,87,22800,1380,1
299,41190603,S0001129,한식,심곡동,115900,5,22400,1270,0
300,11305555,S0022926,한식,미아동,10200,0,30500,1120,2
301,11560630,S0028565,한식,신길동,6769000,219,30900,1330,0
302,41360253,S0038762,족발/보쌈,진접읍,5281200,149,35400,1610,1
303,41190603,S0001114,치킨,심곡동,286800,11,25700,1440,0
304,41150520,S0035044,야식,의정부동,7360600,254,29000,920,3
305,11560560,S0041839,패스트푸드,당산동,4953200,222,22300,1190,2
306,41287510,S0037567,치킨,일산동,5132800,265,19400,1190,1
307,41287510,S0037566,피자,일산동,2038900,73,27900,1240,1
308,41150555,S0028311,분식,호원동,14160100,812,17400,780,1
309,41281650,S0000504,아시안/양식,행신동,28973500,1158,25000,1150,1
310,11560630,S0040087,치킨,신길동,4652100,262,17800,1130,2
311,11530720,S0000228,야식,고척동,2159200,64,33600,1090,2
312,41390570,S0019746,한식,목감동,2136000,72,29500,760,1
313,41190742,S0001537,돈까스/일식,중동,164200,3,51900,1070,3
314,41150568,S0023818,치킨,신곡동,5278300,214,24700,1860,0
315,41285590,S0029879,치킨,장항동,362200,13,27900,1290,1
316,41150576,S0027857,족발/보쌈,민락동,3841700,110,35000,1410,3
317,41281621,S0002274,치킨,화정동,2726900,127,21400,1230,1
318,41285510,S0002449,분식,식사동,2051300,90,22800,1080,3
319,41190742,S0000620,카페/디저트,중동,7583000,400,19000,1490,1
320,41150510,S0036451,중식,의정부동,277000,16,17000,1100,0
321,41210520,S0019453,찜탕,광명동,22485800,694,32400,1560,1
322,41190795,S0021861,찜탕,옥길동,5411000,166,32500,810,0
323,41190744,S0000635,카페/디저트,상동,6867300,358,19200,1230,1
324,41150595,S0022802,한식,가능동,2126000,102,20800,1190,2
325,11530770,S0001282,족발/보쌈,오류동,6523700,192,34100,1000,3
326,11545640,S0022370,족발/보쌈,독산동,140600,4,32400,1210,2
327,41190603,S0020583,한식,심곡동,23618900,1041,22700,1130,1
328,11530720,S0000161,카페/디저트,고척동,2473600,120,20700,1090,2
329,11530780,S0022463,치킨,오류동,14837400,690,21500,1150,2
330,41190742,S0000617,카페/디저트,중동,4063400,207,19600,1430,0
331,41210650,S0002065,카페/디저트,소하동,1470200,89,16600,1450,0
332,41190610,S0021031,치킨,중동,1064700,38,28100,1500,0
333,41150595,S0025685,치킨,가능동,1873900,85,22000,1150,2
334,41210570,S0021898,피자,광명동,14936300,620,24100,1210,1
335,41150580,S0023886,치킨,금오동,4287800,181,23600,1440,2
336,41150576,S0027832,분식,민락동,38700,2,21100,2020,3
337,11305555,S0039730,찜탕,미아동,176000,6,30200,920,2
338,41150510,S0022583,야식,의정부동,392200,20,20100,1850,3
339,41150510,S0022846,분식,의정부동,573500,32,18000,990,3
340,41285551,S0037876,족발/보쌈,백석동,3225300,96,33800,1280,1
341,41480550,S0000751,카페/디저트,와동동,13612800,698,19500,970,1
342,11530770,S0022454,치킨,오류동,19281100,856,22500,1230,1
343,41630540,S0000669,카페/디저트,덕계동,3736000,196,19100,1110,1
344,11530740,S0000083,치킨,개봉동,420800,23,18200,850,2
345,41210610,S0021261,아시안/양식,철산동,908700,35,25800,1450,3
346,11530780,S0001701,피자,오류동,11737700,491,23900,1200,0
347,41190603,S0001109,한식,심곡동,165200,10,16800,1020,0
348,11320514,S0039835,족발/보쌈,창동,11780000,278,42400,1190,3
349,41285560,S0032214,분식,마두동,2115600,112,19000,930,1
350,11530530,S0026862,패스트푸드,구로동,1075100,64,16700,1400,2
351,41360253,S0040950,피자,진접읍,2758500,92,30000,1480,1
352,41150576,S0040992,야식,민락동,195300,9,22500,1240,2
353,41610530,S0027256,찜탕,태전동,23400,1,23400,600,1
354,41190795,S0019508,패스트푸드,괴안동,13024800,653,19900,1130,1
355,41150510,S0036403,족발/보쌈,의정부동,3472800,89,39100,940,3
356,41190610,S0021020,치킨,중동,2363700,117,20100,1180,0
357,41190742,S0001535,족발/보쌈,중동,261400,6,40200,1080,3
358,41190742,S0020868,족발/보쌈,중동,3240200,120,27100,940,3
359,11530720,S0000243,분식,고척동,3357500,192,17500,960,2
360,41190795,S0021885,야식,옥길동,4582800,132,34800,1150,3
361,41210633,S0022079,찜탕,하안동,4821500,228,21100,1080,1
362,41281655,S0002246,치킨,행신동,4801200,222,21700,1140,1
363,11620645,S0000661,카페/디저트,신림동,3588600,201,17800,1400,0
364,41281655,S0002248,치킨,행신동,984600,46,21300,970,1
365,11530740,S0022421,야식,개봉동,17715200,557,31800,1290,2
366,41390570,S0019782,분식,조남동,12704200,642,19800,930,1
367,41150567,S0037233,족발/보쌈,신곡동,18308500,637,28700,970,1
368,41281622,S0002267,피자,화정동,5205400,235,22200,1090,1
369,41360570,S0000602,카페/디저트,별내동,5787600,300,19300,2750,1
370,41210640,S0022001,찜탕,소하동,245300,9,26300,1120,0
371,41150555,S0042004,패스트푸드,호원동,13224300,734,18000,630,1
372,41190742,S0020467,분식,중동,996100,61,16300,1000,3
373,11530740,S0022411,분식,개봉동,1379900,101,13600,1100,2
374,11560720,S0035886,족발/보쌈,대림동,4277300,106,40500,780,2
375,11530740,S0000129,피자,개봉동,5520300,239,23100,1310,2
376,11305575,S0030236,회,미아동,21800,1,32800,960,2
377,11530760,S0000097,족발/보쌈,개봉동,16732200,455,36700,1250,2
378,41271515,S0026078,아시안/양식,이동,10675200,562,19000,720,1
379,41190744,S0020043,분식,상동,8382400,413,20300,1280,1
380,41150520,S0022826,돈까스/일식,의정부동,743300,40,18600,1140,3
381,11530740,S0022403,피자,개봉동,11188000,443,25300,1220,2
382,41150555,S0041821,치킨,호원동,454900,18,24800,1520,0
383,41150620,S0025800,야식,녹양동,4390800,185,23800,790,2
384,41190603,S0001155,한식,심곡동,105200,4,26300,840,0
385,41461320,S0022987,피자,남사면,10181300,356,28600,1120,1
386,41210610,S0021277,중식,철산동,941200,41,23000,1510,0
387,11545610,S0022369,치킨,독산동,841700,33,25400,1350,2
388,11590660,S0000586,카페/디저트,대방동,1924900,100,19300,1390,2
389,11545670,S0022378,족발/보쌈,시흥동,12775800,413,30900,1700,2
390,11560515,S0039144,분식,영등포동,9436600,543,17400,1010,3
391,41190742,S0020872,패스트푸드,중동,12659600,585,21600,1160,1
392,41150568,S0023830,피자,신곡동,2209400,87,25300,1160,0
393,41210632,S0022069,족발/보쌈,하안동,8059400,188,42800,1160,3
394,11530760,S0022406,족발/보쌈,개봉동,187600,5,38800,1160,2
395,41285520,S0039221,치킨,중산동,529200,22,24200,1310,1
396,11320690,S0028352,패스트푸드,방학동,5197100,314,16600,1000,2
397,11530720,S0022431,중식,고척동,9128500,356,25700,1190,2
398,41390570,S0019779,카페/디저트,산현동,277400,16,17900,930,1
399,41210610,S0021791,족발/보쌈,철산동,1734000,41,42300,1280,3
400,41390570,S0019785,야식,조남동,7605800,320,23700,620,1
401,41281640,S0002255,치킨,행신동,9641100,440,21900,1190,1
402,11590640,S0037197,족발/보쌈,사당동,2477700,64,38600,1770,3
403,41150568,S0026401,치킨,신곡동,457900,22,21100,1660,0
404,41190742,S0020676,돈까스/일식,약대동,2792500,84,33200,1080,3
405,41360253,S0041918,회,진접읍,1177800,31,37800,1160,0
406,41287510,S0037565,치킨,일산동,2200800,92,23800,1170,1
407,41360253,S0041398,돈까스/일식,진접읍,3686200,102,36000,1700,3
